name,definition,type,group,examples,hashtags,origin,synonyms
Йа,я.,местоимение,NonNone,"Йа так устала!  • Когда йа была маленькой девочкой и жила дома... • Йа хочу спать!  • Харашо што йа был в форми, йа уш ни гаварю а сваей ришимасти.  • Йа люблю тех кто уважает мя.  • Йа не буду все перечислять, всё индивидуально, много нюансов. ",#Падонки ,NonNone,NonNone
Йа креведко,"я знаю олбанский язык, но не совсем понимаю, о чем вы здесь говорите (иногда с намеком «слишком умно», «напускаете тумана», «говорите сложными словами о простых вещах»).",NonNone,(каменты),NonNone,#Падонки ,NonNone,"я чайник, прикидываюсь шлангом, шлангую, йа криветко, йа криведко."
Йааазь,"язь, название рыбы.","-я, м. ",(интернет),"Вот она! Вот она рыба моей мечты: здоровенный язь, здоровенный, Йааазь, Йааааазь!  • Мужик поймал рыбу Йааазь и хвалится этим.  • Здоровенный ЙАААЗЬ.  • Йааазь отдыхает, на смену пришла МойВаааа.  • Прославился своим видео с рыбалки, где он эпично говорит «Йааазь» и радуется крупному улову.  • Он похож на мужика, который поймал Йааазя! ",#Интернет ,"Из  любительского видеоролика, который оказался сверхпопулярным в инете.","йаазь, йазь, язззь"
Йад,яд.,"-а, м. ",(каменты),NonNone,#Падонки ,NonNone,NonNone
Йазык,"язык, чаще всего имеется в виду олбанский язык.","-а, м. ",(каменты),NonNone,#Падонки ,NonNone,NonNone
ЙАшка,"Йуный Аффтар - фикрайтер, делающий в тексте много ошибок.",NonNone,(фикрайтеры),Ты йашка или тролль? ,#Общие ,NonNone,NonNone
Йёёоу,возглас восхищения.,предикатив,NonNone,Йёёоу!! То что нужно!! ,#Общие ,NonNone,NonNone
йенг,альтернативное определение человека.,"сущ., м. р. ",(разговорное),"Что ты, как йенг. ",#Общие ,от китайского - вялый половой член.,вялый.
Йидрить його,"йидри його, йидринько и т.д.",NonNone,(геймеры),NonNone,#Общие ,деды СССР.,NonNone
Йифф,творчество категории для взрослых.,"-а, м ","(аниме , фурри)","Рисую все, кроме йиффа.  • Думаю эта йифф игра вам понравится.  • Обожаю йифф, НЯ! • Подборка йифф картинок с фурри. ",#Аниме ,От англ. yaff - подражание лаю лисы во время поиска партнера.,фурротика.
Йо,"вводное слово, имеет в рэпе свои функции:1 — для вступление рэпера в чтения текста, так как рэп произошел от уличных батлов, на которых ниггас поочерёдно читали тексты под музыку, и слово Йо показывало что именно ты сейчас вступаешь в батл;2 — для перевода дыхания во время чтения длительной строки на одном дыхании;3 — для сбития темпа во время чтения рэпа.",вводное слово ,(рэперы),NonNone,#Рэперы ,NonNone,NonNone
Йо,когда нечего сказать (особенно в рэпе) говори: ЙО!!!   ХА - ХА!.,междометие и предикатив ,(рэперы),"Эй ты чувак, йо, подoйди сюда, йо!!!  •   Йо, камон в магазин!  •   А кто тут, йо, кмон, высказывался против хранцузского рэпа, мазафака? ",#Рэперы ,Англ. yo означающее у англоязычных рэперов ровно то же самое.,yo
Йоба,"Y.O.B.A.(Youth Oriented and Bydlo Approved) или просто Йоба, русское  название мема отечественных имиджборд.",Аббревиатура ,(Соцсети),NonNone,#Интернет ,"Появился во второй половине 2008 года на двачах, затем распространился по прочим имиджбордам.",NonNone
йобана,выражение эмоций.,междометие ,(повседневная),"Я тебе говорю йобана, Ты слышишь йобана. ",#Гопники ,от хуевинки.,хуевинка.
Йобз,"возглас, выражающий удивление.",предикатив ,(каменты),NonNone,#Падонки ,"Искаж., сокр., эвфемизм.","йопт, йопта."
Йоги,Маленький крутыш.,NonNone,(Детей),NonNone,#Общие ,NonNone,Солидный.
