name,definition,type,group,examples,hashtags,origin,synonyms
В баню,"то же, что в бан, забанить  — временный запрет для пользователя (форумов, чатов, блогов) отправлять сообщения.",NonNone,(интернет),"Модератор выбирает себе жертву, которую он постоянно сажает в баню.  • А на других сайтах тебе уже указали бы на дверь в баню с массой петиций в ЛС.  • Это есть обсуждение действий модератора, бычно в БАНю идут после этого.  • В баню попадают пользователи, которые: 1) Нарушают ПС 2) Выражаются матом 3) Оскорбляют других пользователей ресурса. Срок нахождения в бане от 1-го до 8-ми дней (по усмотрению администрации сайта). ",#Интернет ,NonNone,NonNone
В баш!,указание на высокое качество поста или коммента.,предикатив ,(каменты),NonNone,#Падонки ,От bash.org.ru — доменное имя   сайта «Цитатник рунета».  По мнению каментатора комментируемый текст достоин увековечивания в «Цитатнике».,NonNone
В башорг,см. в баш!.,NonNone,(каменты),NonNone,#Падонки ,NonNone,NonNone
"В Бобруйск, жывотное!","выражение крайне негативной оценки, обращенное в большей степени не к тексту, а лично к аффтару.",уст. выр. ,(каменты),NonNone,#Падонки ,"Искаж. в Бобруйск, животное!. См. также Бабруйск .",NonNone
В газенваген,"негативная реплика в адрес аффтара поста, комента, любого текста.",NonNone,(каменты),NonNone,#Падонки ,От искаж. нем. gaswagen — передвижная газовая камера.,фтопку.
в голосину,Смеяться в голос.,NonNone,(интернет),Просто в голосину от твоих шуток. ,#Общие ,NonNone,"орать, крикать."
В кису с легонца насыпать,Насмешкой или физическим воздействием выразить свое отрицательное отношение.,NonNone,NonNone,"Там в кису с легонца насыплют, крутыми базарами задавят (помудрушка). ",#Общие ,NonNone,NonNone
В конте,в социальной сети вконтакте.,NonNone,(интернет),"Моему парню какая то тёлка начала без конца писать на стене в конте.  • Добавьте немного сексуальности, для авы в конте!  • Кого не достал микроблог в конте?  • Люди, а тока мне в конте пароль какая то сцука сменила!  • Я ухожу из одноклассников теперь буду в конте.  • Друга не видно онлайн в конте. ",#Интернет ,NonNone,NonNone
В кс,В кс - значение этого слово в каком смысле.,NonNone,NonNone,NonNone,#Общие ,NonNone,NonNone
В лифте родился,"о человеке, не закрывающем за собой двери.",NonNone,NonNone,"(1) Твою мать, в лифте родился, что ли? Дверь закрывать не учили?  • Во всем виноват этот вьетнамец, который в лифте родился и не закрывает двери, а так как у нас в маленькой комнатке 3 компа и 3 человека.  • Колумб в лифте родился вот и не закрыл Америку.(2) В лифте родился, или дэбил какой в децтве укусил? • Своя голова должна быть, чай не в лифте родился. ",#Общие ,NonNone,NonNone
В лом,"неохота, неприятно, лень.",NonNone,(хиппи),NonNone,#Хиппи ,NonNone,NonNone
в лс,В лс-в личные сообщения.,NonNone,(отправь музыку в вк),NonNone,#Общие ,NonNone,NonNone
В мемориз,буквально «добавляю в избранное» — выражение высокой положительной оценки в отношении комментируемого текста.,NonNone,(каменты),NonNone,#Падонки ,"От англ. memories в значении «избранное». ТВ блогах, форумах и др. формах интернет общения существует функция, позволяющая  делать закладки на интересные и/или полезные тексты.",NonNone
в мертвых найках,"Одна из песен фараона, взятая большой популярностью среди молодежи.",NonNone,(молодежь),"Скр скр скр
В мертвых найках
Скр скр скр
В белой майке. ",#Музыка #Рэперы ,NonNone,NonNone
В муке,"быть в состоянии опьянения, (алкогольно-наркотического).",NonNone,(общ.),"Убиться в муку, намуковаться. ",#Общие ,NonNone,"в умате, в состоянии нестояния, убитый, бухло, синька."
В натуре,"да, в самом деле, так и есть, действительно.","в знач нареч., союз и частица ",(гопники),"Слышь, братан, тут  пацаны в натуре наживаются, а я че, лох что ли?  • В натуре классный трэк, чотко!  • Здесь они в натуре стремные какие-то.  • Да, в натуре, здесь кайф!  • Шо это, в натуре, значит? ",#Гопники ,NonNone,внатуре
в падлу,Делать что-то лень.,нареч ,(вк),NonNone,#Общие ,NonNone,NonNone
В пекло,послать;.,Наречие ,(разговорное),"В пекло короля, - сказала Ария. ",#Общие ,от английского F**k.,NonNone
В полный рост,вовсю.,"уст. выр., экв. причастию",NonNone,"Федя, заходи, мы тут оттопыриваемся в полный рост! ",#Общие ,NonNone,NonNone
В поте морды,"старательно, тщательно, прилагая максимум усилий.",NonNone,NonNone,"Редакционная кошка Фаня работает в поте морды.  • Всего надо тяжким трудом достигать, в поте морды лица.  • Бедняга, что называется «в поте морды» прорыл всю свою библиотеку.  • Хлеб в поте морды, это же порок! ",#Общие ,NonNone,NonNone
В пролёте,"потерпеть неудачу, остаться без надежды на что-то, обделённым.",NonNone,NonNone,"Пацан, это наше дело, а ты в пролете. ",#Общие ,NonNone,NonNone
В пролёте,"без надежды на что-то, оставленный, обделённый.",NonNone,NonNone,NonNone,#Общие ,NonNone,NonNone
В пролёте,потерпеть неудачу.,NonNone,NonNone,"Как более деликатно объяснить бывшему парню моей девушки что он в пролёте?  • Милый мальчик ты в пролете, без тебя я в самолете.  • Не будет он в пролёте На него спрос тоже обеспечен. • Если хуанг не понизит цену на 770, то он в пролете!  •  Расстроен из-за того, что сегодня он в пролёте с лотереей. ",#Общие ,NonNone,NonNone
В рот мне галстук,возглас выражения эмоций.,междометие и предикатив,NonNone,"Это было бы круто, в рот мне галстук!  • В рот мне галстук, Владимир Путин, зачем ты скукожил мои танки?  • Приятно, в рот мне галстук!  • В рот мне галстук, убери этот юзербар или сделай его меньше, а то форум неудобно читать. •  В рот мне галстук, там что, до сих пор не было ограждения??? ",#Общие ,"видеозапись президента Грузии М.Саакашвили, где он, нервничая, в натуре жевал свой галстук.",вротмнегалстук
В рот мне ноги,выражение удивления или раздражения.,"уст. выраж., междометие",NonNone,В рот мне ноги! Ты прекратишь это или нет? Демон! ,#Общие ,Пародия на Дэвида Блейна.,Афигеть! Аболдеть!
