name,definition,type,group,examples,hashtags,story,synonims
Жаба,язык программирования Java.,"-ы, ж. ","(айтишники, прогеры)","Такого результата, при копировании из памяти в память прога на жабе не достигает.  • Батенька, на Жабе пишут не для того, что бы прога стала быстрее, а уж тем более — меньше.  • Для чего в приложении на жабе может понадобицца щёччик сцылок? ",#Айтишники #Прогеры ,NonNone,"ява, джава"
Жаба,жадность.,"-ы, ж.",NonNone,"Жаба душит — жалко денег на что-либо. Сколько жабу не корми, а она все равно задушит. ",#Общие ,NonNone,"скупость,  скаредность."
Жаба,жаргонное название программы Toad.,сущ. ж.р. ,(проггеры),написать sql-запрос в жабе. ,#Айтишники ,в переводе с англ. Toad - жаба.,NonNone
Жаба гончая,"человек суетящийся, в поте лица решающий проблему.",NonNone,NonNone,"Ношусь, как жаба гончая. ",#Общие ,NonNone,NonNone
Жаба душит,Жадность.,Сущ. Ж.р. И глагол ,(Состояние настроения),Не могу отдать -жаба душит. ,#Общие ,От русского-жмот.,Скаредность.
Жабаскрипт,язык программирования JavaScript.,"-а, м. ",(айтишники),"Жабаскрипт может быть расположен в любом разделе страницы.  • Тыкаем кнопку — жабаскрипт выводит страницу с формой.  • Жабаскрипт это client-side, т.е. js скрипты выполняются на стороне клиенте (читай в браузере).  • Обращаю внимание на 3 и 10 строки, это два варианта различного вызова жабаскрипта.  •  Пожно срезать полностью все жаба-скрипты с указанного сайта, но это не хорошо.  • Кодировка в жаба скрипт. ",#Айтишники ,NonNone,"жаба-скрипт, жаба скрипт"
Жаббер,открытый протокол для быстрого обмена сообщениями.,"-а, м. ",(айтишники),"Жаббер — это аналог нашей любимой аськи, так называемый Instant Messager. ",#Айтишники ,"Англ. бренд Jabber, букв. — болтовня.","жабер, жабёр."
Жабодушно,"о чем-то, на что жалко тратить деньги.",нареч.,NonNone,Ибо 400р отдавать жабодушно.  • Делать это лениво и жабодушно.  • Но 70 тысяч за хорошую дубленку как-то жабодушно.  • Менять на что-то другое было как-то жабодушно — дорого.  • Ежели жабодушно и деньги есть — значит это тебе не нужно!  • А ради проверки выпшикивать специально купленный для этой цели еще один такой же баллон - жабодушно. ,#Общие ,NonNone,жаба
Жабры,"рёбра, используется в выражении «дать по жабрам» — ударить в грудь; впрочем может означать и другие части тела для битья.","-бер, мн.",NonNone,"Телепередача, на которой Боровой получил по жабрам и упал на пол. • Эх, парень по жабрам надо давать, блин!  • Может и по жабрам получил. Есть легенда, гласящая что Лукьяненко получил по жабрам за то что написал то чего не следовало.  • Надо перешагнуть через настрой в бою как можно меньше получить «по жабрам» и поработать в настрое «дать по жабрам» оппоненту. ",#Общие ,NonNone,NonNone
жабяра,человек жадный или предурковатый.,и так и так ,"(гопники, двор)",NonNone,#Гопники ,у нас на раёне.,жадина...
Жавкнуть,"перекусить, немного поесть.",сов. перех и неперех.,NonNone,"(1) я бы сейчас жавкнул чего-нить... • Пойду, надыбаю чего-нибудь жавкнуть, уж больно кушать и спать хочется.  • Хлопнуть сивухи и устрицой с Елисеева жавкнуть.  • Кстати, если бы Адам в Эдеме тогда не «жавкнул» плод...  • Водицы колодезной я б щас жавкнула ковшичек!!!! Холоооооодненькой.  •(2) Жавкнул затвором - дослал патрон в ствол.  • Я вот думаю пригодится ли что с него, голова то хоть не жавкнула?  • Гай неожиданно жавкнул его всей пастью за ногу чуть выше колена.  • Я даже не поняла пока не жавкнула на него. ",#Общие ,NonNone,NonNone
Жажа,одно из сосов Воинов Упячки.,"-и, ж. ",(упячка),"(1) Нуууууу, атаки упячки продолжаются, это риальне жажа!!!1  • Эмо используют так называемое асинхронное щячло, незаметное невооруженным ъжслом, способно вызывать жажа, чочо, порывы пепяки. (2) Признаке того что ваш сиране жажа бложэг отокавали уг-юзеры. ",#Упячка ,NonNone,NonNone
Жаксыбись,"нормально, хорошо, в порядке.",в знач. нареч.,NonNone,"Поехали на СТО – проверить состояние машины, сказали что нужно менять задние серьги, в остальном все жаксыбись.  • Всё будет жаксыбись!  • Всё жаксыбись братан!  • Ну это все конечно жаксыбись, только вопрос... сейчас найти хоть что то можно?!  • Я вот удивляюь почему в Казани и Уфе у властьимущих сердце болеет за развитие спорта а у нас только на словах всё жаксыбись? ",#Общие ,NonNone,NonNone
