name,definition,type,group,examples,hashtags,story,synonims
Ы,"Обозначение громкого смеха, иногда с повторением ыыы.",1. междометие 2. предикатив ,(каменты),"Ы!!! Ржу!!! Ни как лошадь, конечно! ",#Падонки ,NonNone,"ыыы , гы, хы."
Ы!,употребляется при выражении благодарности.,частица,NonNone,— Ты такой красивый! — Ы! ,#Общие ,NonNone,"айс, спасибо."
Ыбло,"идея сценария ФМ-акции, которая уже была проведена.","-а, ср. ",(флэшмоб),NonNone,#Флэшмоб ,Искаж. было.,NonNone
ЫЙ,"бесконечное падение, продолжение, желания завершения, но оно бесконечно...",неизвестна ,"(бесконечное падение, продолжение)","к примеру когда икоту, один ик растянули в бесконечность... ",#Общие ,NonNone,NonNone
Ыригинально,"оригинально  — необычно, хорошо, красиво.",нареч.,NonNone,"А мне очень нравится, ыригинально!  • Ытлично я сказал ыригинально!  • Кто заинтересовался Ыригинально, красиво, аккуратно фотки тасану, приколитесь!  • Слов нет ыригинальн! ",#Общие ,Намеренное искажение слова оригинально.,NonNone
Ыть,"так, да, используется дли усиления подтверждения, выражения эмоциональной окраски.",междометие,NonNone,"Ыть в конце концов - есть-таки положительные результаты.  • Ыть, я псых.  •  Ыть держите меня семеро, модерите меня в три руки. • Ыть я никуда не собирался ваабще-та.  •  Ебтыть - это не случайное двух слогов взаимодействие, / В нем «ебт», как желанье тайное и «ыть», как готовность к действию. ",#Общие ,NonNone,дык.
ЫУ,"Набор букв, образовавшийся в результате неправильного набора ""вк"".",не имеет рода ,(все социальные слои),NonNone,#Общие ,NonNone,NonNone
ЫЦпор,синоним к слову але-оп.,сущ мр р ,(синоним к словы але-оп),в цирке циркач сказал ЫЦПОР. ,#Общие ,NonNone,але-оп.
Ычан,Анонимный сайт без регистрации для любителей игр и аниме.,"сущ., м.р. ","(Анонимусы, хикки)",Я сегодня хикковал на Ычане. ,#Социальныесети ,"Ычан - сайт, появившийся в рунете 2009 года, сайт не требует регистрации, своё имя надо придумать. Сайт имеет несколько разделов (к примеру: кулинария, электроника, аниме и манга, видеоигры).","Имиджборд, двач, нульчан, 410чан, аулчан, boards."
Ычк,"все, всё.","местоим., сущ., нареч.",NonNone,"И мой низкий поклон и Мэру и Администрации, я думаю у них ычк получится.  • Правильный ответ в окошечке с кодом (1,1,1,1) в котором имеются ычк четыре признака.  • Да мне по барабону ычк, что ты сказал.  • Вроде бы, я ычк поимаю.  • да Да я ычк знаю, но фотки клёвые.  •   • Как-то размыто ычк.  • Ычк мужики по натуре охотники  — добиваются того, чего хотят. ",#Интернет ,Происходит из систематической ошибки: на клавиатуре компьютера клавиши  «ы» «ч» «к» расположены рядом с клавишами «в» «с» «е».,NonNone
ычую,"Аналог Двачую, т.","Гл,н.в.,м. р. . ",(Посетители имиджборда iichan.hk),"Ычую каждое слово,ычую семена сверху,ычую ОПа. ",#Социальныесети ,Двачую.,NonNone
Ышник,уважаемый человек в обществе.,"-а, м.",NonNone,"Он назвал его ышником, после чего они вместе бежали по коридору и кричали ы... ",#Общие ,От буквы Ы.,наш человек.
Ыы,смех.,междометие,NonNone,Ыыы! ,#Общие ,NonNone,NonNone
Ыыы,"возглас выражения эмоций, чаще всего смеха, усмешки, но иногда плача, разочарования и др.",междометие,NonNone,"Ыыыыыыы, это так кульно! • Ыыы вот так я отдыхал по весне.  • Ыыы! лошадка то мля злая попалась!  • Я тоже употребляю «ыыы», «гыыыы», «бугагаа».  • Ыыы - опять же смех, а точнее передача текстом гортанного звука при глухом смехе.  • Ыыы убится мона всё ыыы да ыыы!!  • Хех... ну-ну.... мне как т не жалк! Ыыы. • ЫЫы, непруха!  • Ни плакай... ЫыЫ... Всё образуется!! ",#Общие ,NonNone,"гыы, бугага."
ыыыы,"Глупый, иногда необоснованный и странный смех.",NonNone,(Молодёжь),"Дим, покажи глупого человека. "" Ыыыы"". ",#Общие ,NonNone,"Ха-ха-ха, смешно."
