name,definition,type,group,examples,hashtags,story,synonims
я,Люди мене не чують-це я.,"сущ.,м.р. ",(особистість),"Я і життя моє, буває воно нікчемне і щасливе. ",#Общие ,NonNone,"людина, особистість."
Я вин,Это слово означает что человек выиграл в игре.,NonNone,(Геймеры),NonNone,#Геймеры ,NonNone,NonNone
Я выучил албанский,Признание своей ошибки в прошлом посте или коменте ( используется после комента типа «Учи албанский».,NonNone,(каменты),NonNone,#Падонки ,NonNone,NonNone
"Я идиот! Убейте меня, кто-нибудь!",самокритичное и в чем-то правдивое заявление упячкоидов.,NonNone,(упячка),NonNone,#Упячка ,NonNone,NonNone
Я ЛИВАЮ,я ухожу - Геймер которого все бесит - уходящий из игры.,словосочетание ,(Геймеры),"- Пошли в Доту
- Пошли
- Пошли
через 5 мин
- ХАА Я ТЕБЯ ПОБЕДИЛ
- ...
- Я ЛИВАЮ!!!! ",#Геймеры ,NonNone,NonNone
Я на здравый,Я Тренироваться - уходить на тренировку.,Глагол ,(Соц.сети),Я на здравый. ,#Общие ,NonNone,NonNone
я ору,Человеку очень смешно.,глагол ,(молодежь),"Класный анекдот, я просто ору). ",#Общие #Социальныесети ,NonNone,я угораю.
я проиграл,Подумал о чем-то пошлом.,"словосочетание; пр.t, м.р.,1 л. ",(молодёжь узкий круг лиц),"-Я вся мокрая!
-Я проиграл. ",#Общие ,NonNone,NonNone
Я с вас не могу,"смеяться над кем-то или над чем-то, что кто-то рассказывает.",NonNone,NonNone,"Ой... млин... Саша я с тебя не могу...  • Я не могу с Вас, ну просто обладеть можно. • Я не могу с вас женщины!  • Я с тебя не могу, ты реально баклан что ли?  • Ой, я не могу с вас - надо же быть таким идиотом!  •  Ой, я не могу с вас, ну что за чушь вы тут несёте?  • Я не могу с вас народ, вы что и в прямь так в своей злобе корчитесь а?  • Собрались идиоты обсуждать группу... пипец... я с вас  не могу!!! Кто ещё идиот?  • Я с тебя не могу, так прикольно всю живность братульцами называешь. ",#Общие ,"Возможно, из так называемого одесского языка.","я не могу с тебя, я не могу с вас, я с них не могу и т.п."
я твой рот топтал,"это оскорбление очень сложного смысла.
1.я твой рот е%%л
2.я избилал тебя
3.росто оскорбление.",NonNone,(оскорбление),NonNone,#Общие #Интернет ,Обращение к Роме Фундуку (Желудю) !11.,"бить,топтать,избивать."
Я твою душу мотал,"Человек, которого хотят наказать, или убить.",словосочетание ,(Хачи),Я твою душу мотал кифирчик. ,#Гопники ,Андраник.,Тебе будет плохо.
я тебя лафки,значит кто-то испытывает к тебе нежные чувства.,словосочитание ,(молодёжь),"Мой друг сказал что -он меня лафки- , что делать ? ",#Общие ,лафки-(от англ.) love любить.,любить.
Я тя лав,Я тебя люблю.,словосочетание,NonNone,NonNone,#Общие ,NonNone,Любить.
Я тя лю,я тебя люблю.,NonNone,NonNone,"Милый, я тя лю!  • Та брось ты, я тя лю!  • Любимая я тя лю.  • Чтобы скачать заставку «Я тя лю» на компьютер, посмотри в левый верхний угол и найди кнопку «Скачать».  • Малыш! Я тя лю!!! • «Я тя лю» и «аще» заменяют в виртуальном пространстве живые слова и эмоции. ",#Общие ,NonNone,NonNone
Ябвдула,я бы при возможности занялась бы сексом.,NonNone,NonNone,"Просто невыносимо прекрасные телочки, ябвдула обеим сразу.  • Вот просто, бьез всяких там изысков: ябвдул!  • Подошел бы нормальный пацан и сказал «ябвдул», и я бы ему немедленно дала бы за одно только отсутствие лицемерия.  • Нормальные девки, ябвдул.  • Почему-то во всех таких постах хочется писать «ябвдул», но мне нельзя, я ж несвободный, поэтому не буду. ",#Общие ,NonNone,NonNone
Яблодрочер,"Человек, отдающий предпочтение электроники фирмы Apple; антоним: андрочер.","Сущ., н.р. ",(Интернет),Заебали яблодрочеры с айфонами. ,#Общие ,NonNone,NonNone
Яблоки,Наркотики и пр наркотические вещества.,сущ; м.р ,(Наркоманы и пр),NonNone,#Общие ,NonNone,NonNone
Яблоко-ёблоко,"Яблоко, которое обкурилось и матерится!.","Сущ., ср. р. ",(Бредогенераторы),Человек откусил яблоко-ёблоко и улетел на Марс жрать синие ананасы. ,#Общие ,"От слова ""облако"", ""яблоко"" и ""%баный"".",Хуета.
Яблофон,"такой девайс, хз что, то ли мобила, то ли таблетка, называется «Iphone».","+а, м. ",(айтишники),"Если бы яблофон не сломали, то продажи этих тел и половины бы объема не набрали! • Не куплю яблофон хотя б потому, что не хочу поддерживать америкосов.  • Хочу мамке яблофон подарить на ДР.  • яБлоФОН, как ни смешно —  это мобила. • а эта мразь по имени айфон-еблофон, возьмёт и отправит письмо неизвестно куда. ",#Общие #Айтишники #Железячники ,"От названия (бренда) фирмы-производителя «Apple», буквально — яблоко.",еблофон
Яблочник,пользователь компьютеров фирмы «Apple».,"-а, м. ",(айтишники),NonNone,#Айтишники ,NonNone,Англ бренд Apple букв. яблоко.
ЯВ,"Яндекс.Выдача, т.е.",аббрев. ,(сеошники),NonNone,#Сео ,NonNone,NonNone
Яга,мама.,"-и, ж.",NonNone,NonNone,#Общие ,NonNone,череповка.
Яга,слабоалкогольный напиток «Ягуар» (Jaguar).,"-и, ж.",NonNone,"Я пойду и куплю ягу.  •  Не пей ягу, это вредно.  • Помогите бросить пить ягу.  • Первый раз попробовал Ягу примерно года 4 назад, до того пил тока Абсентер.  • Пить ягу в количестве большем 1 банки - настоятельно не рекомендую.  • Пей Ягу - рожай шнягу!  • Жарим шашлык, пьём Ягу, веселимся.  • Мне 21 год, а я ни разу не пил ягу. ",#Общие ,NonNone,"Барсик, Яг, Кислый."
Яга,"Сокрощение от Jaguar («Ягуар» ) — алкогольный энергетический баночный коктейль, популярный у определенных слоев молодежи.","ж.р., сущ., не одуш., 1 скл. ","(Гопники,интернет.)",Мы с пацанами под забором ягу шныряли вчера. ,#Общие ,Сокрощение от слова Ягуар.,"Ягуар, энергетик,зверь, лапка,джигурда."
Яд,"восклицание восторга, оценка события как превосходного.",предикатив,NonNone,"Музло - полный яд, вросто супер!!!  • В итоге скажу: концерт — яд! •  Фест — яд! ",#Общие ,NonNone,"ядок, класс, супер."
Ядерка,"Ядерный заряд, который приводит к концу раунда в игре Cod MW2 («Call of Duty: Modern Warfare 2»).",NonNone,"(геймеры, шутеры)","Ну вот, на ядерку наколупал. Всю игру спорол. ",#Геймеры #Шутеры ,NonNone,ядрёнка.
Ядиот,"Перевод слова ""ядиот"" - идиот.","сущ, м,р ",(Употребляеться когда хочеться выговорить человеку своё недовольство),Ты ядиот или прикидуешься?! Я с такими ЯдИоТаМи не разговариваю... Ну ты ядиота... ,#Общие ,нет.,глупый человек.
ядло,"круто, прикольно.","сущ., ср.р.",NonNone,"Например : Этот фильм был ядло . Фотки залил в инсту ядло, посмотри. ",#Общие ,NonNone,NonNone
Ядово,"очень круто, великолепно.",нареч.,NonNone,"Как я ядово каталась на коньках.  • Зарифмовано ядово ниче нескажеш, а от юмор хромает.  • Зафоткал ево ядово! ",#Общие ,NonNone,NonNone
Ядок,"хорошо, прекрасно.",в знач. нареч.,NonNone,"Да,это ядок! ",#Общие ,NonNone,"яд, класс, супер."
Ядрёна вошь,возглас выражения отрицательных эмоций.,междометие,NonNone,"Ядрена вошь, я ни фига не знаю!  • Он споткнулся и произнес: «Ядрена вошь!»  • Но что-нибудь да сбудется непременно, ядрена вошь!  • В России есть три экзотических вида животных: ёшкин кот, бляха-муха и ядрёна вошь. Да, кстати, есть ещё йокарный бабай, но это уже не животное.  • Старики, ядрена вошь, куда пропали!?  • Наконец-то до трактира добрался, ядрена вошь, как раз под самый вечер! ",#Общие ,NonNone,"ё-моё, ёпрст, ёклмн, ёкарный бабай, японский городовой, японский бог,  япона мать, ёк-Макарёк, ёлки зеленые, ёлки-палки, ёлки-метелки, ёшкин-клёшкин, ёшкин кот, ёшкины кошки, ёшки-матрёшки, едрёна матрёна, едрён батон, едрён макарон, едрёна вошь, едрёна феня, блин, мать-перемать, в рот мне ноги, холи-моли,  бляха-муха."
Ядрит твою лять!,выражает глубокое огорчение.,NonNone,NonNone,"«Да ядрит ваше лять!»,— сказал Ярослав, вытаскивая только что воткнувшийся гвоздь из затылка. ",#Общие ,NonNone,"блин, черт, итить."
Ядро клуба,"малая неформальная группа , в которой сосредоточен основной массив принятия решений, планирования и управления клубом.",NonNone,(неформ. соц.),NonNone,#Социотехника ,NonNone,NonNone
яжка,слабоалкогольный сладкий энергетический (кофеиновый) коктейль с экстрактом матэ и других.,"сущ., ж. р. ",(подростки),NonNone,#Общие ,NonNone,"Ягуар, Яг, Яга, Ягель, Ягур, Ягыч, Яша, Банка, Джага, Джей, Лаффная Ягочка, Барсик, Кислый, Патрон, Снаряд, Лапа, Гуар, Тигренок, Жига, Жимолость, Йежик, Йеженька."
яжку,"Слабоалкогольный газированный напиток ""Ягуар"".",NonNone,(интернеты),NonNone,#Общие ,NonNone,жигулевское (жигуля).
яжмать,"Быдломамаша, которая не хочет воспитывать своего ребёнка и считает, что ей все должны только за то, что она родила.","Я даже не знаю, что это, пусть будет сущ. м. р. ","(имиджборды, овуляшки, чайлдфри, вконтакте, вумен.ру)","Яжмать, по%бать!
Онажмать, х%ле, все должны перед ней плясать! ",#Общие ,"Пошло с имиджборд, из бугурт-тредов. По аналогии с ""Тыж программист"" произошло от фразы ""Я же мать"". Позднее размазалось по окружающим интернетам, и ныне употребляется не только в бордосфере, но и, например, в контакте.","онажмать, я же мать, овуляшка."
язва,не любимая учительница!!.,NonNone,(школа),NonNone,#школьники #Общие ,NonNone,NonNone
