name,definition,type,group,examples,hashtags,origin,synonyms
е-мейл,Электро́нная по́чта  — технология и служба по пересылке и получению электронных сообщений между пользователями компьютерной сети (в том числе — Интернета).,"сущ., хз р. ",(Интернет),"
Ё-моё
е-мейл
е-мейл
Ё-моё

",#Интернет ,NonNone,NonNone
Ё-моё,возглас выражения эмоций.,междометие,NonNone,"Ё-моё, а я то думал що ты мне друг.  • Е-мое, что такое?!  • И тут все звезды зажглись и отразились в морской глади, ё-моё!  • И в восторге от неё. / Вдруг воскликнул: «Ё моё!»  • Эх, ё-моё, опять пропил получку, . Эх, ё-моё, вернётся - будет взбучка.  • А навстречу такая цыпочка, что просто ё-моё!  • Брошенное в сердцах «Ну, ё-мое!» отныне четко обозначит проблему. ",#Общие ,NonNone,"вау, бля, блин."
ЕАО,Пацанский таз ЕАО.,ЕАО ,(ЕАО),NonNone,#Общие ,NonNone,ЕАО.
ебабельно,"четко, класно, заебись.",ебабельно ,(школьники),"Уоу чика, ты выглядишь ебабельно. ",#Общие #Мат ,От глаг. -ебаться.,охуительно.
Ебабельный,"Человек с высокой сексуальной привлекательностью.
Преимущественно женщина, выставляющая на показ свою сексуальность.",прилагательное ,(подростки),"Нравится мне эта тёлка, весьма ебабельная, но на роль жены не тянет - слишком уж привыкла к дурному вниманию.
Ух как ебабельна! Я б вдул!
Встречаться не стал бы, но она ебабельна. ",#Общие ,Происходит от слова еб$ть (иметь секс).,"сексуальный, фапабельный, дрочибельный."
ебаклак,"Глупый, бестолковый.",сущ. м.р. ,(гопники),NonNone,#Общие ,NonNone,NonNone
Ебалайка,"универсальное название  любого предмета или явления, заменитель слова — идентификатора предмета, точное имя которого неизвестно; нередко с пренебрежительным оттенком.",NonNone,NonNone,"Эта ебалайка что ли твоя машина?  • Нужна ли такая ебалайка в аквариуме?  • А что за ебалайка на кровати около куска пластмассы?  • Под клизмой, судя по всему, понимается ебалайка синего цвета на заднем плане.  • Ненавижу когда выскакивает эта ебалайка.  • Вот эта ебалайка что ли твой волшебный жезл?  • Вся эта ебалайка должна работать и при публикации в вордпресс через Semagic.  • А на фотке у меня что за ебалайка, знает кто?  • Не заводится моя ебалайка. ",#Общие ,NonNone,"фиговина, хреновина, хренька, фигня, байда."
ебало на ноль,Заткнись.,NonNone,(Интернет-сленг),"Ебало на ноль, мразь. ",#Общие ,NonNone,NonNone
ебанавт,дурной человек.,"сущ., м.р",NonNone,NonNone,#Общие ,NonNone,NonNone
ебанас,"Сумасшедший, придурок, слабоумный.","сущ., м. р. ",(гопники),"Ты что - ебанас , делаешь? ",#Общие ,от ебанутый..,"ебанашка, ебанат."
ебанзе,оскорбление человека людьми  недоразвитыми.,прилаг. ,(да хуй знает),Че ты как ебанзе? Ну ты вообще ебанзе! ,#Общие ,от хохлятского:п%зданутый(ая).,ебанько.
ебаноид,"Человек, сотворивший или творящий или намеревающийся сотворить нечто весьма добанутое (неадекватное).",сущ. ,(жизнь),Вот ты ебаноид! ,#Общие ,жизнь.,"неадекват, дебил, тупица.."
ебантаны,"Южно-корейский бойсбенд BTS, имеющий название в народе Bangtan Boys (""Bulletproof Boy Scouts"" - пуленепробиваемые ребята).",сущ. мн.ч ,(кей-поп),"-Смысл вообще другим станет, и ты поймешь, что ебантаны под конец с ума сошли...
-Бантаны себе связи набивают, короче, а потом их будет знать весь мир. Даже Обама и Путин будут ставить себе рингтончики ебантаев. И Землю переименуют в ""ЕБАНТУЕВО"". И будут имена у нас не ""Катя, Наташа, Валентин"", а ""ЕБАТЯ, ЕБАНТАША и ЕБАНТИН"". ",#Музыка #СлэнгФанатов ,"Кто-то ляпну в коментах под постом, ну и понеслась...","Бантаны, ебананы, ебантаи, БиТиЭс, Пуленепробиваемые парни."
ебанушка,человек который поступил неправильно.,"сущ., м.р, уменьшительное-ласкательное ","(интернет, социальные сети)",NonNone,#Общие ,NonNone,NonNone
ебасос,Либо человек у которого все хреново получается.,"сущ., м.р ",(улица),NonNone,#Гопники ,"""Че серьёзно, даа серьезно.","%блан, долба%б, ебасосин."
Ебатистика,"чепуха, ерунда.","-и, ж.",NonNone,"Чё за ебатистику он несёт?  • Мы проиграли на Евровидении?! Это ебатистика, судью на мыло!!  • Но так, чтобы вырубало, такой ебатистики ещё не было!  • Вообще убери все лишние плагины, ебатистика какая-то высвечивается играть не дает нормально! ",#Общие ,NonNone,фигня.
ебачес,человек постоянно косячит.,м. р. ,(везде),саша иванов ебачёс. ,#Общие ,тормоз.,олень.
ебашь,"усердно, до пота чем-либо заниматься.",гл.пов.накл. ,(молодежь),NonNone,#Общие ,NonNone,Старайся.
ебеня,"Глухое и, как правило, удаленное от благоустроенных территорий место.","существительное, множественное число ",(Разговорная речь),Заснул в троллейбусе - проснулся в ебенях. ,#Общие ,NonNone,Глушь.
ебил,"Еврейская Боевая Илита Лепрозория (утонченная разрешенная организация).
Закрытое сообщество обитателей сайта dirty.ru.","сущ., м. р. ",(интернет),"Вступайте в ряды ЕБИЛ, юзернейм! ",#Социальныесети ,NonNone,NonNone
ебич,"Человек, который все нагнул.",NonNone,NonNone,Я ебич. ,#Социальныесети ,NonNone,NonNone
ебланка,"глупая девушка, сделавшая что-то не так.",сущ ж р ,(гопники и злая молодежь),"зачем ты написала своему бывшему, ты че ебланка?? ",#Общие ,NonNone,"дура, тупица, больная, дикая."
Еблет,лицо.,"-а, м.",NonNone,"Те чё в еблет с ноги насечь?!  • Ну у тя и еблет!!  • Зимой и летом — с недовольным еблетом.  • Сияние ее еблета на экране ничем не оправдано.  • Невнятный непримечательный белый человек с напряженным еблетом.  • Я, было, еблетом потянулся к ней, поцеловаться на прощание.  • Приложился еблетом об новенький пожарный щит.  • А я быстро вытерла еблет олимпийской майкой. ",#Общие ,"Происходит от матерного глагола, который в русском языке имеет весьма обширные значения и множество производных.","хлебало, фейс."
Еблопад,планшетный компьютер Ipad фирмы Apple.,"-а, м.",NonNone,"У меня есть клевый еблопад! Я на нем играю в ябло игрушки!  • Те ему еблопад задарили.  •  Я в результате перешёл на проводную систему, а для еблопада оставил еблороутер, сигнал ни разу не терялся. •  Покупая у него еблофон и еблопад.  • Еблофоны и еблопады не брал, т.к. это кало. Андроид - вот выбор модных мальчишек! ",#Общие ,NonNone,NonNone
