name,definition,type,group,examples,hashtags,origin,synonyms
О мой глоб,"Слова из мультфильма ""время приклученийи"" а точнее фиолетового облочка так называемый пупыркой.",О мой бог ,(О господи),О мой глоб как я красива. ,#Общие ,NonNone,"О мой бог,о господи,ого."
О так ота,"возглас при выражении удивления, чаще — приятного.",междометие,NonNone,"О так ота! Действительно вопрос отпал.  • И тада в результате получиться что-то волшебное, о так ота! • Всё будет о так ота. ",#Общие ,NonNone,"(1) ну и ну, вот это да. (2) вот так вот."
О чем парле,"что за странный вопрос, это же само собой разумеется; правильно; выражение согласия.",NonNone,NonNone,"О чем парле! То событие, что вы таскаете шкуру?  • О чем парле! аннотирует происходящее собственной персоной туроператор?  • Согласный, оно неблаговидное, топкое, о чем парле!  • О чем парле! престижные институты?  • О чем парле! Мы, нас возьмите, мы что — не люди?  • Мотор «прокачали», о чем парле!  •  Они всегда идут на казино чтобы забавы и, о чем парле!, они всегда ждут проиграть.  • О чем парле! Володя?, — осведомилась я. ",#Общие ,NonNone,NonNone
о5,"опять, снова, заново — повтор чего-либо.",нареч.,NonNone,"Сорри, что о5 не вышло.  • Зенит о5 проиграл Спартаку!   • И о5 пришел ко мне, а я, дура, простила!  • Я о5 был неправ.  • При подключении девайсов комп о5 будет заражен вирусом. ",#Общие ,NonNone,снова.
Обалдайс,"изумление, эмоциональная реакция на внезапное, необычное, экстравагантное событие.","-а, ср.",NonNone,"На пару мнгновений обалдайс появилось на лицах незнакомцев. • Только и знает вызывает обалдайс.  • Представляете мое обалдайс, когда я узнал...  •  Брюссель выражает обалдайс по поводу реакции Москвы.  • Многих приведёт в обалдайс круглая сенсорная дорожка. ",#Общие ,NonNone,"обалдение, отпад."
Обалдемон,"что-либо необычайное, потрясающее, шокирующее.","-а, м.",NonNone,Обалдемонами я называю в шутку шокирующие мой мозг подробности личной жизни некоторых людей.  • Обалдемон и мелкий потряс.  • Обалдемон будет полнейший!  • Обалдемон - гениально!  • Все просто обалдемон! ,#Общие ,NonNone,NonNone
Обалденный,"удивительный, поражающий, восхитительный.",NonNone,NonNone,Какое у тебя обалденное платье! ,#Общие ,NonNone,"офигенный, афигенный, мегаклёвый."
обалдеть,Удивление какой-нибудь фразе.,NonNone,NonNone,"Обалдеть какие картинки! Обалдеть, какой наглый мужик!! ",#Общие ,NonNone,NonNone
Обалдец,возглас выражения эмоций.,нескл.,NonNone,"Слово в лексиконе есть замечательное «обалдец» (это она скрестила обалдеть и капец).  • Фильмец-обалдец.  • Да, цена просто обалдец!  • Зайцы - просто обалдец.  • Виталя, ты зря не приехал, каша была обалдец!  • В кинотеатрах мне нравится практически любой фильм, но этот — просто нереальный обалдец! ",#Общие ,NonNone,NonNone
обаснуй,"докажи свою точку зрения, предоставь аргументы.","гл., повел. накл.",NonNone,обаснуй свои слова. ,#Геймеры ,NonNone,"докажи, аргументируй."
Обаце,"оценка ситуации как неожиданной, непредвиденной, возглас выражения удивления от внезапности чего-л.",междометие и предикатив ,(гопники),"Обаце, а пацанчики уже в курсе!  • Обаце! Тётка нарисовалась! Надо рвать когти!  • Обаце, какие люди!  • Обаце, знакомое лицо.  • Обаце, Гришу замели. ",#Гопники ,NonNone,опаце
Обджекторы,"отказники от военной службы, современный вариант радикальных эко-пацифистов.",NonNone,NonNone,NonNone,#Общие ,NonNone,NonNone
Обдирон,высокие нечестные цены.,"-а, м.",NonNone,"Всюду обдирон!  • Ну это я понимаю что очередной обдирон… но как то необходимо рассмотреть вообще всю «концепцию налогов».  •  Постоянное хамство и обдирон.  • У нас в крови гульнуть на эти праздники, несмотря на обдирон.  • Посоветуйте сервис по аудюшным дизелям нормальный, с хорошим отношением и без обдирона. ",#Общие ,NonNone,NonNone
